entry,at,order
"The player ""sdsada @ pkQwGauQKP"" quits the game with a stack of 0.00.",2024-02-29 22:54:53.960000+00:00,170924729396000
-- ending hand #3 --,2024-02-29 22:54:47.951000+00:00,170924728795101
"""blah blah @ A1MoTs9Gms"" collected 35.60 from pot with A High (combination: A♦, K♠, J♠, 8♦, 6♦)",2024-02-29 22:54:47.951000+00:00,170924728795100
"River: K♠, 2♥, 4♥, J♠ [6♦]",2024-02-29 22:54:43.947000+00:00,170924728394700
"Turn: K♠, 2♥, 4♥ [J♠]",2024-02-29 22:54:39.943000+00:00,170924727994300
"Flop:  [K♠, 2♥, 4♥]",2024-02-29 22:54:35.941000+00:00,170924727594100
"""blah blah @ A1MoTs9Gms"" shows a A♦, 8♦.",2024-02-29 22:54:31.883000+00:00,170924727188301
"""sdsada @ pkQwGauQKP"" shows a 3♦, Q♥.",2024-02-29 22:54:31.883000+00:00,170924727188300
Some players choose to not run it twice.,2024-02-29 22:54:31.029000+00:00,170924727102901
"""sdsada @ pkQwGauQKP"" chooses to not run it twice.",2024-02-29 22:54:31.029000+00:00,170924727102900
Remaining players decide whether to run it twice.,2024-02-29 22:54:29.458000+00:00,170924726945801
"""sdsada @ pkQwGauQKP"" calls 17.80 and go all in",2024-02-29 22:54:29.458000+00:00,170924726945800
"""blah blah @ A1MoTs9Gms"" raises to 17.80",2024-02-29 22:54:27.916000+00:00,170924726791600
"""sdsada @ pkQwGauQKP"" calls 0.20",2024-02-29 22:54:25.654000+00:00,170924726565400
"""blah blah @ A1MoTs9Gms"" posts a big blind of 0.20",2024-02-29 22:54:22.874000+00:00,170924726287405
"""sdsada @ pkQwGauQKP"" posts a small blind of 0.10",2024-02-29 22:54:22.874000+00:00,170924726287404
"Your hand is 3♦, Q♥",2024-02-29 22:54:22.874000+00:00,170924726287402
"Player stacks: #1 ""sdsada @ pkQwGauQKP"" (17.80) | #2 ""blah blah @ A1MoTs9Gms"" (22.20)",2024-02-29 22:54:22.874000+00:00,170924726287401
"-- starting hand #3 (id: ltjusnh7fvnd)  (No Limit Texas Hold'em) (dealer: ""sdsada @ pkQwGauQKP"") --",2024-02-29 22:54:22.874000+00:00,170924726287400
-- ending hand #2 --,2024-02-29 22:54:19.925000+00:00,170924725992502
"""sdsada @ pkQwGauQKP"" collected 0.40 from pot",2024-02-29 22:54:19.925000+00:00,170924725992501
"Uncalled bet of 0.20 returned to ""sdsada @ pkQwGauQKP""",2024-02-29 22:54:19.925000+00:00,170924725992500
"""blah blah @ A1MoTs9Gms"" folds",2024-02-29 22:54:19.079000+00:00,170924725907900
"""sdsada @ pkQwGauQKP"" bets 0.20",2024-02-29 22:54:17.939000+00:00,170924725793900
"Flop:  [2♣, 4♠, K♥]",2024-02-29 22:54:14.317000+00:00,170924725431700
"""sdsada @ pkQwGauQKP"" checks",2024-02-29 22:54:13.472000+00:00,170924725347200
"""blah blah @ A1MoTs9Gms"" calls 0.20",2024-02-29 22:54:10.856000+00:00,170924725085600
"""sdsada @ pkQwGauQKP"" posts a big blind of 0.20",2024-02-29 22:54:10.172000+00:00,170924725017205
"""blah blah @ A1MoTs9Gms"" posts a small blind of 0.10",2024-02-29 22:54:10.172000+00:00,170924725017204
"Your hand is 8♥, 10♠",2024-02-29 22:54:10.172000+00:00,170924725017202
